Timestamp,Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol,Packet_Size,Connection_Duration,Packets_Per_Second,Error_Rate,Login_Attempts,Bytes_Sent,Bytes_Received,Traffic_Flag,MAC_Address,Label
2026-01-04 11:12:59,9.125.228.15,115.144.135.238,13552,8080,UDP,,334.0,,0.34232278537634586,3,,,DoS,52:9e:83:ca:06:94,1
2026-01-01 04:44:43,64.113.123.156,182.75.112.98,25373,22,UDP,,687.0,,0.6328835220238569,15,,,Normal,9c:0d:e4:2c:c0:af,0
2026-01-03 14:27:41,217.221.240.157,225.58.187.19,3336,53,TCP,1324.0,559.0,3112.0,0.4121281093646101,12,3537.0,49223.0,Probe,c4:8d:b8:3a:11:c3,0
2026-01-03 22:16:41,113.250.8.73,205.56.196.116,3114,8080,UDP,1865.0,196.0,4339.0,0.9264131349284993,16,3958.0,35051.0,Suspicious,e7:ff:61:52:52:4d,1
2026-01-04 12:11:26,0.234.40.246,47.149.140.64,56727,443,TCP,584.0,777.0,5569.0,0.6846558834895984,19,48640.0,42797.0,Normal,f1:48:a7:e0:70:b6,1
2026-01-01 02:09:36,164.115.16.100,97.17.126.200,28972,22,ICMP,972.0,594.0,4770.0,0.9054151143613275,13,38758.0,16833.0,Probe,39:2b:11:e3:65:89,0
2026-01-02 06:00:54,239.139.54.88,165.172.65.181,1170,8080,UDP,627.0,764.0,4553.0,0.22616393902205023,13,12932.0,50831.0,Normal,ce:f1:2f:5c:56:d2,0
2026-01-03 19:22:05,107.122.62.33,147.186.116.96,27839,8080,ICMP,1100.0,73.0,1333.0,0.33070848193795965,6,22697.0,22794.0,DoS,e6:87:ab:5e:bb:9a,1
2026-01-05 22:26:54,200.100.206.177,194.78.95.91,10914,22,ICMP,961.0,124.0,5137.0,0.6573572371185337,23,3023.0,41735.0,Normal,35:4a:da:96:9d:28,1
2026-01-03 23:33:00,179.54.77.197,2.161.162.6,12820,21,UDP,1467.0,160.0,1278.0,0.23512663328089045,10,47259.0,35679.0,Probe,b6:65:58:f6:19:e2,0
2026-01-05 23:56:37,13.243.153.126,162.167.125.54,56471,22,ICMP,1313.0,178.0,907.0,0.7536956319833652,22,55242.0,54162.0,Normal,14:4f:b7:96:0d:c9,1
2026-01-02 16:25:00,141.92.86.30,146.27.40.91,48204,80,TCP,1334.0,407.0,4760.0,0.5543044100495417,8,47888.0,7776.0,Normal,f2:59:cf:8e:ba:40,0
2026-01-04 23:10:07,158.89.140.65,42.2.65.144,56301,8080,ICMP,1379.0,119.0,814.0,0.9278419254052795,8,38496.0,13507.0,DoS,96:1f:2e:14:ae:56,1
2026-01-05 22:03:17,31.57.36.27,220.170.84.131,35206,53,ICMP,,317.0,,0.24967498840260294,3,,,Normal,88:a9:16:2a:d6:b9,0
2026-01-01 23:20:06,18.93.77.150,67.23.159.116,22386,53,UDP,1921.0,791.0,3025.0,0.43229417655573577,0,8264.0,42234.0,Normal,d7:85:5f:47:be:a7,0
2026-01-01 05:00:37,151.94.248.139,172.69.159.193,64715,80,TCP,1697.0,464.0,1534.0,0.4364066201961275,19,10223.0,3047.0,DoS,75:8e:f4:30:58:b0,1
2026-01-04 03:49:40,156.74.216.137,146.173.9.187,9108,22,UDP,496.0,426.0,1874.0,0.0991856487711249,22,48647.0,12869.0,Suspicious,91:fb:df:8c:08:c4,1
2026-01-03 23:22:25,15.18.208.118,202.163.249.213,5954,8080,ICMP,,117.0,,0.548135903607214,20,,,DoS,90:cd:ac:26:c4:ac,1
2026-01-02 23:44:07,71.88.139.145,127.216.196.139,24706,22,TCP,,440.0,,0.9873568574672116,6,,,Normal,56:1a:62:68:a6:a7,0
2026-01-01 11:04:52,174.135.203.28,176.1.71.131,9015,22,ICMP,1966.0,640.0,4882.0,0.010717484105300268,24,44060.0,57895.0,DoS,cb:b9:e0:39:26:3c,1
2026-01-02 12:24:30,33.212.250.96,21.23.115.10,9574,8080,UDP,496.0,721.0,46.0,0.5543369499602185,19,15573.0,45100.0,Probe,b9:63:0a:59:5e:ab,1
2026-01-06 18:42:11,216.44.133.4,50.10.46.239,30248,21,TCP,1291.0,369.0,3386.0,0.6387070172792519,17,42714.0,7620.0,Normal,d9:95:d4:82:35:eb,0
2026-01-06 18:45:50,71.88.88.50,122.98.13.71,45111,21,ICMP,1663.0,209.0,858.0,0.8356512703424255,17,31343.0,48184.0,Probe,54:b9:32:b7:ba:cb,1
2026-01-05 12:34:41,108.182.34.104,47.234.4.113,38822,53,ICMP,532.0,90.0,4818.0,0.37047574735685695,7,20932.0,49045.0,Normal,86:a2:6e:07:de:58,0
2026-01-03 04:35:51,15.205.88.143,161.49.147.9,7452,21,ICMP,1868.0,731.0,5711.0,0.8787702334163133,20,54234.0,28985.0,Normal,7f:35:a5:e5:d9:0a,1
2026-01-01 06:29:20,253.134.246.85,92.94.175.184,49478,21,UDP,577.0,293.0,1080.0,0.5420984543729193,23,59073.0,2449.0,Normal,fd:89:dd:b7:ae:80,1
,234.150.11.112,83.244.201.78,63704,53,ICMP,1066.0,667.0,1754.0,0.5167545027206303,15,19340.0,36232.0,DoS,6c:d5:1b:25:69:12,1
2026-01-06 05:16:12,12.220.224.62,41.22.65.211,19462,53,UDP,261.0,359.0,5797.0,0.5872928598461742,2,40255.0,42781.0,Suspicious,42:4d:ec:3f:2f:92,1
2026-01-01 20:11:53,246.185.241.79,116.210.251.94,1446,21,ICMP,161.0,375.0,682.0,0.8105907759156904,11,37479.0,37816.0,Normal,ee:ef:58:11:47:03,0
2026-01-04 15:50:45,108.232.42.237,97.92.95.121,46791,53,TCP,1210.0,677.0,5692.0,0.8170408850006222,0,28306.0,66876.0,Normal,71:78:09:cf:b8:00,0
2026-01-03 03:42:45,57.235.97.50,160.149.250.57,44992,21,ICMP,1782.0,125.0,4508.0,0.8624803165132376,5,11139.0,65054.0,Probe,23:82:7c:3b:b8:50,1
2026-01-03 07:34:31,45.168.217.201,67.86.232.189,36988,8080,ICMP,1249.0,9.0,2299.0,0.16378049640397008,5,31484.0,56101.0,Normal,78:ea:d1:09:37:18,0
2026-01-03 13:21:03,165.128.146.23,220.47.203.69,31270,21,UDP,1225.0,485.0,5663.0,0.5488912285456233,19,54529.0,3922.0,Normal,9f:a1:1a:24:ac:c8,1
2026-01-02 17:18:17,3.29.16.84,239.135.78.224,29476,53,UDP,1389.0,590.0,3006.0,0.9053543416361072,0,27859.0,4063.0,Suspicious,ed:71:91:ec:ea:2e,0
2026-01-06 00:25:06,82.112.14.51,5.247.4.206,46961,53,UDP,921.0,368.0,3716.0,0.6550346033318962,19,19716.0,27264.0,Normal,46:85:17:12:0b:1a,1
2026-01-05 02:17:55,79.243.17.178,153.57.144.54,58886,80,TCP,1872.0,616.0,475.0,0.2643783850853144,12,15824.0,29402.0,Normal,bb:e2:f9:63:27:cf,0
2026-01-02 14:12:11,53.153.110.176,126.158.99.247,19418,80,ICMP,573.0,9.0,441.0,0.17302387834456123,4,38016.0,46197.0,DoS,4b:4e:9c:d0:23:fb,1
2026-01-03 18:31:51,234.17.160.81,218.35.87.66,47747,21,ICMP,1123.0,,3513.0,,21,13093.0,11047.0,Normal,37:ee:cb:0c:55:db,1
2026-01-02 01:26:17,233.208.41.90,190.141.69.178,3803,80,UDP,775.0,772.0,3218.0,0.7770225801666604,13,28251.0,62436.0,Probe,5e:ff:74:81:ed:8d,0
2026-01-05 03:53:08,12.242.30.209,151.143.179.138,50274,80,UDP,554.0,216.0,371.0,0.6775258090774847,4,21921.0,25401.0,Normal,65:84:b8:74:bc:2a,0
2026-01-02 20:08:34,145.252.144.128,89.137.183.218,45203,80,ICMP,1355.0,537.0,1652.0,0.4003046280230572,23,44303.0,51909.0,Normal,42:72:fd:0c:d4:6e,1
2026-01-05 00:23:18,159.101.201.192,8.17.152.201,9604,8080,TCP,403.0,78.0,747.0,0.43655193309241447,6,17024.0,60490.0,Normal,d5:56:2f:d7:73:cd,0
2026-01-03 04:48:20,244.124.166.254,160.128.116.69,61086,80,TCP,,177.0,,0.23916395496203746,5,,,Suspicious,28:7f:65:c4:ef:76,0
2026-01-01 19:21:58,22.96.66.67,13.231.33.112,24863,21,ICMP,1875.0,595.0,944.0,0.7246720827210796,17,13607.0,58087.0,Normal,1a:eb:59:59:34:fe,0
2026-01-03 18:32:42,190.95.99.155,15.33.94.178,29723,53,ICMP,1846.0,,1257.0,,18,50301.0,4189.0,Normal,67:58:89:39:5d:98,0
2026-01-05 15:49:28,82.62.246.77,8.172.105.123,48702,22,TCP,393.0,270.0,5270.0,0.9784359781936637,16,57131.0,52805.0,Probe,b4:39:51:1a:6e:47,0
2026-01-06 05:15:13,250.107.48.117,201.120.63.106,31438,22,TCP,113.0,621.0,1443.0,0.1948399399402453,14,53243.0,43679.0,Normal,46:87:73:c8:d5:f1,0
