Timestamp,Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol,Packet_Size,Connection_Duration,Packets_Per_Second,Error_Rate,Login_Attempts,Bytes_Sent,Bytes_Received,Traffic_Flag,MAC_Address,Label
2026-01-05 12:10:08,9.125.228.15,57.94.114.108,31659,80,UDP,1461.0,790.0,1792.0,0.21868305886649386,22,4285.0,65036.0,Normal,e0:b5:39:b1:ae:e8,1
2026-01-05 00:22:25,64.113.123.156,70.39.249.212,5860,8080,TCP,1196.0,424.0,3869.0,0.9426625258047708,15,3055.0,64493.0,DoS,ae:02:08:8b:eb:7b,1
2026-01-06 12:33:54,217.221.240.157,25.38.159.82,58205,443,UDP,53.0,510.0,4920.0,0.30631471010361555,5,19148.0,27498.0,Normal,00:b4:12:89:a2:8a,0
2026-01-01 20:11:39,113.250.8.73,98.218.235.251,7700,443,UDP,1765.0,424.0,5113.0,0.30345608468567264,12,52039.0,17962.0,Suspicious,c0:61:d2:48:4d:4f,1
2026-01-02 14:15:42,0.234.40.246,80.230.239.28,27178,53,TCP,1045.0,587.0,2434.0,0.03330978244859184,16,53774.0,44045.0,Normal,4a:f9:66:0c:4f:3e,0
2026-01-03 07:35:43,164.115.16.100,254.250.213.249,5625,443,TCP,1230.0,182.0,1127.0,0.2350664524649263,6,34819.0,57518.0,Normal,d9:65:18:79:c8:1b,0
2026-01-04 13:33:57,239.139.54.88,186.205.176.226,38939,80,ICMP,1812.0,799.0,4133.0,0.6075614402812997,22,57395.0,64628.0,Normal,fb:3f:b7:3a:25:b6,1
2026-01-05 12:37:29,107.122.62.33,107.250.16.192,10564,80,ICMP,419.0,776.0,2786.0,0.5766904184115532,9,18495.0,56162.0,DoS,3c:ba:27:b5:69:86,1
2026-01-05 21:36:21,200.100.206.177,221.218.127.229,3565,53,UDP,149.0,636.0,1286.0,0.37399473339344724,21,6187.0,5381.0,Normal,e5:8f:9d:e3:54:2f,1
2026-01-03 23:38:48,179.54.77.197,183.4.186.171,57901,8080,ICMP,269.0,417.0,5444.0,0.7109140327631329,7,6154.0,32272.0,Normal,d6:2e:63:08:86:dc,0
2026-01-04 13:07:28,13.243.153.126,227.141.242.80,3842,22,TCP,1661.0,359.0,834.0,0.5824439315224255,16,35722.0,1749.0,Normal,bc:0c:7b:f5:90:7d,0
2026-01-02 14:13:20,141.92.86.30,186.174.41.188,65404,22,ICMP,1468.0,124.0,5088.0,0.9247710837014098,16,24983.0,51318.0,Normal,5d:42:8c:57:aa:e1,0
2026-01-05 07:01:50,158.89.140.65,103.237.243.89,8197,53,ICMP,1516.0,385.0,5352.0,0.13505065396564442,8,59776.0,1247.0,DoS,43:88:12:20:e2:13,1
2026-01-01 12:31:51,31.57.36.27,191.111.0.155,22419,8080,UDP,1733.0,588.0,3894.0,0.5315358007080385,12,17569.0,17500.0,Suspicious,71:85:04:72:5d:c0,0
2026-01-05 07:15:34,18.93.77.150,19.200.51.27,3958,443,ICMP,1130.0,163.0,694.0,0.9399760489034471,1,2492.0,64781.0,DoS,66:6d:2c:fc:ac:b8,1
2026-01-05 00:04:28,151.94.248.139,88.32.125.95,4018,53,UDP,1836.0,678.0,10.0,0.03042284933942707,14,17864.0,28661.0,Normal,20:e6:0c:d9:60:3a,0
,156.74.216.137,77.27.170.59,28814,443,TCP,1580.0,329.0,5722.0,0.1929103252542682,0,34714.0,28065.0,Normal,2d:c8:4f:99:27:01,0
2026-01-04 18:12:31,15.18.208.118,158.8.142.3,14047,21,ICMP,1012.0,95.0,4043.0,0.6337123008103672,22,6804.0,23910.0,Normal,84:79:5a:7c:f0:d0,1
2026-01-03 05:39:04,71.88.139.145,161.151.69.223,59805,22,TCP,1962.0,251.0,565.0,0.7019027677093026,17,46049.0,59259.0,Probe,5a:f0:db:ca:d1:44,0
2026-01-03 19:31:44,174.135.203.28,238.2.171.216,20019,22,TCP,1488.0,679.0,1167.0,0.9882983079781807,8,10030.0,54048.0,Normal,da:7f:08:9c:d3:ec,0
2026-01-06 08:24:01,33.212.250.96,123.97.50.159,35128,21,TCP,1968.0,761.0,321.0,0.9879704333949989,7,31063.0,6008.0,Normal,45:f8:15:0b:64:5d,1
