Traffic_Flag,Login_Attempts,Connection_Duration,Packets_Per_Second,Error_Rate,Packet_Size,Label
0,3,334.0,2971.0,0.3423227853763458,1006.0,1
1,15,687.0,2971.0,0.6328835220238569,1006.0,0
2,12,559.0,3112.0,0.4121281093646101,1324.0,0
3,16,196.0,4339.0,0.9264131349284992,1865.0,1
1,19,777.0,5569.0,0.6846558834895984,584.0,1
2,13,594.0,4770.0,0.9054151143613276,972.0,0
1,13,764.0,4553.0,0.2261639390220502,627.0,0
0,6,73.0,1333.0,0.3307084819379596,1100.0,1
1,23,124.0,5137.0,0.6573572371185337,961.0,1
2,10,160.0,1278.0,0.2351266332808904,1467.0,0
1,22,178.0,907.0,0.7536956319833652,1313.0,1
1,8,407.0,4760.0,0.5543044100495417,1334.0,0
0,8,119.0,814.0,0.9278419254052797,1379.0,1
1,3,317.0,2971.0,0.2496749884026029,1006.0,0
1,0,791.0,3025.0,0.4322941765557357,1921.0,0
0,19,464.0,1534.0,0.4364066201961275,1697.0,1
3,22,426.0,1874.0,0.0991856487711249,496.0,1
0,20,117.0,2971.0,0.548135903607214,1006.0,1
1,6,440.0,2971.0,0.9873568574672116,1006.0,0
0,24,640.0,4882.0,0.0107174841053002,1966.0,1
2,19,721.0,46.0,0.5543369499602185,496.0,1
1,17,369.0,3386.0,0.6387070172792519,1291.0,0
2,17,209.0,858.0,0.8356512703424255,1663.0,1
1,7,90.0,4818.0,0.3704757473568569,532.0,0
1,20,731.0,5711.0,0.8787702334163133,1868.0,1
1,23,293.0,1080.0,0.5420984543729193,577.0,1
0,15,667.0,1754.0,0.5167545027206303,1066.0,1
3,2,359.0,5797.0,0.5872928598461742,261.0,0
1,11,375.0,682.0,0.8105907759156904,161.0,0
1,0,677.0,5692.0,0.8170408850006222,1210.0,0
2,5,125.0,4508.0,0.8624803165132376,1782.0,1
1,5,9.0,2299.0,0.16378049640397,1249.0,0
1,19,485.0,5663.0,0.5488912285456233,1225.0,1
3,0,590.0,3006.0,0.9053543416361072,1389.0,0
1,19,368.0,3716.0,0.6550346033318962,921.0,1
1,12,616.0,475.0,0.2643783850853144,1872.0,0
0,4,9.0,441.0,0.1730238783445612,573.0,1
1,21,400.0,3513.0,0.4961485432834901,1123.0,1
2,13,772.0,3218.0,0.7770225801666604,775.0,0
1,4,216.0,371.0,0.6775258090774847,554.0,0
1,23,537.0,1652.0,0.4003046280230572,1355.0,1
1,6,78.0,747.0,0.4365519330924144,403.0,0
3,5,177.0,2971.0,0.2391639549620374,1006.0,0
1,17,595.0,944.0,0.7246720827210796,1875.0,0
1,18,400.0,1257.0,0.4961485432834901,1846.0,0
2,16,270.0,5270.0,0.9784359781936636,393.0,0
1,14,621.0,1443.0,0.1948399399402453,113.0,0
0,15,519.0,2971.0,0.4576985875133356,1006.0,1
2,9,245.0,2971.0,0.805399669135475,1006.0,0
2,6,400.0,4082.0,0.4961485432834901,1680.0,1
1,23,186.0,4341.0,0.9452482312071852,1958.0,1
1,19,131.0,366.0,0.6540268390706102,417.0,1
1,6,449.0,2146.0,0.8852308177391011,515.0,0
1,8,373.0,1555.0,0.8633567738554417,855.0,0
1,6,505.0,642.0,0.4005668451564032,914.0,0
3,15,784.0,3093.0,0.2778675843510088,687.0,0
1,17,403.0,1526.0,0.0473704280260595,1326.0,0
2,18,470.0,4986.0,0.7645995786994207,1285.0,0
1,6,182.0,445.0,0.2254469856911594,111.0,0
1,2,600.0,2930.0,0.2580179846727476,1704.0,0
1,4,37.0,5596.0,0.7220998023984787,935.0,0
2,21,45.0,592.0,0.0577465993208046,820.0,1
1,2,563.0,2971.0,0.2988182269574906,1006.0,0
1,18,552.0,3811.0,0.0995792511245463,1054.0,0
1,3,55.0,1135.0,0.9328187624935252,1619.0,1
1,2,405.0,2032.0,0.8803682998408573,1298.0,0
2,20,154.0,2086.0,0.5815791291708512,1346.0,1
1,6,761.0,4691.0,0.8321914113940754,1571.0,1
1,19,257.0,3912.0,0.1509514825130582,131.0,1
1,5,425.0,4114.0,0.1579079598961852,1048.0,0
1,2,185.0,345.0,0.7099438373433807,1973.0,0
1,3,596.0,2410.0,0.1413984868932422,1874.0,0
0,2,466.0,1940.0,0.9861695384904668,480.0,1
0,7,284.0,1146.0,0.7208895244551926,813.0,1
1,14,730.0,4695.0,0.062531275114512,542.0,0
1,14,718.0,1027.0,0.585759851571111,1960.0,0
0,5,65.0,420.0,0.8980304553839475,606.0,1
1,16,570.0,3466.0,0.9817631159386804,766.0,0
2,18,595.0,2248.0,0.5947464984491813,1818.0,0
1,24,634.0,2237.0,0.1260221213619163,785.0,1
1,23,325.0,2971.0,0.4789913972461227,1006.0,1
2,0,400.0,5050.0,0.4961485432834901,1527.0,0
1,20,455.0,3588.0,0.825229196760202,1878.0,1
